original average,supression average,total_sum,total_element,m,M,average_laplace,average_gaussian,difference_laplace_supression,difference_gaussian_supression
42.82262322623226,42.830688622754494,572218,13360,0.5,0.9,42.82812307854329,42.77065179570944,0.005499852311032782,0.05197143052281916
42.82262322623226,42.79207478306208,1149010,26851,0.6,0.6,42.7619100541102,42.81001073486038,0.06071317212205685,0.012612491371882584
42.82262322623226,42.922640895785904,923824,21523,0.6,0.7,42.920499987505124,42.97416823740802,0.0978767612728646,0.15154501117576302
42.82262322623226,42.975522813688215,723364,16832,0.6,0.8,42.971362086962614,42.866904287385815,0.14873886073035436,0.0442810611535549
42.82262322623226,42.660850226670085,498748,11691,0.6,0.9,42.66231429056132,42.726363432613965,0.1603089356709404,0.09625979361829451
42.82262322623226,42.74244256348247,848352,19848,0.7,0.7,42.78777930797984,42.75869640513615,0.03484391825242028,0.06392682109611059
42.82262322623226,42.77676889965026,636005,14868,0.7,0.8,42.80698348448455,42.844706589293956,0.01563974174771232,0.02208336306169656
42.82262322623226,42.8838780172842,431712,10067,0.7,0.9,42.92319183878511,42.88449745314586,0.10056861255284844,0.061874226913602115
42.82262322623226,42.97468829803215,572165,13314,0.8,0.8,42.96821102081321,43.029626884743635,0.14558779458094762,0.20700365851137548
42.82262322623226,43.01090822859853,362754,8434,0.8,0.9,42.99481721864557,43.186754352920566,0.17219399241331246,0.3641311266883065
42.82262322623226,42.64013998782715,280231,6572,0.9,0.9,42.641784790489794,42.98965444895416,0.18083843574246572,0.16703122272190285
42.82262322623226,42.79450226848145,2565616,59952,0.1,0.1,42.78942092021749,42.79270076722,0.03320230601477192,0.02992245901226198
42.82262322623226,42.87173754998182,2358803,55020,0.1,0.2,42.86975460132449,42.876052205277055,0.047131375092227756,0.05342897904479571
42.82262322623226,42.74759394592868,2140885,50082,0.1,0.3,42.74581580919308,42.74711580464078,0.07680741703917704,0.07550742159148172
42.82262322623226,42.77134980100941,1923727,44977,0.1,0.4,42.76801933469003,42.78943443877453,0.054603891542228666,0.033188787457731905
42.82262322623226,42.81595779099575,1720388,40181,0.1,0.5,42.820520444318404,42.826399952601115,0.0021027819138552672,0.0037767263688550656
42.82262322623226,42.88583376296042,1497316,34914,0.1,0.6,42.882162672975056,42.97451753423113,0.05953944674279654,0.15189430799887305
42.82262322623226,42.8933373170003,1292076,30123,0.1,0.7,42.89843499599171,42.856137550035854,0.07581176975944715,0.03351432380359398
42.82262322623226,42.86420985386888,1073577,25046,0.1,0.8,42.85981908357233,42.87165695371035,0.037195857340073246,0.04903372747808987
42.82262322623226,42.85533742944203,857921,20019,0.1,0.9,42.86059504541713,42.86460444926281,0.03797181918486814,0.04198122303055385
